Season,Week,Date,Tm_Name,Tm_Pts,Home,Opp_Name,Opp_Pts,Spread,Total,True_Total,Over,Under,Push
2015,1,2015-09-14,ATL,26,1,PHI,24,2.5,54.5,50,0,1,0
2015,1,2015-09-13,BUF,27,1,CLT,14,2.5,45.0,41,0,1,0
2015,1,2015-09-13,CHI,23,1,GNB,31,6.5,49.0,54,1,0,0
2015,1,2015-09-13,CRD,31,1,NOR,19,-2.0,48.5,50,1,0,0
2015,1,2015-09-13,DAL,27,1,NYG,26,-6.0,51.5,53,1,0,0
2015,1,2015-09-13,DEN,19,1,RAV,13,-4.5,48.0,32,0,1,0
2015,1,2015-09-13,HTX,20,1,KAN,27,-1.0,41.0,47,1,0,0
2015,1,2015-09-13,JAX,9,1,CAR,20,3.0,40.5,29,0,1,0
2015,1,2015-09-10,NWE,28,1,PIT,21,-7.0,52.0,49,0,1,0
2015,1,2015-09-13,NYJ,31,1,CLE,10,-3.5,39.5,41,1,0,0
2015,1,2015-09-13,RAI,13,1,CIN,33,3.0,43.0,46,1,0,0
2015,1,2015-09-13,RAM,34,1,SEA,31,4.0,40.5,65,1,0,0
2015,1,2015-09-13,SDG,33,1,DET,28,-2.5,45.5,61,1,0,0
2015,1,2015-09-14,SFO,20,1,MIN,3,1.5,41.5,23,0,1,0
2015,1,2015-09-13,TAM,14,1,OTI,42,-3.0,41.0,56,1,0,0
2015,1,2015-09-13,WAS,10,1,MIA,17,3.0,43.5,27,0,1,0
2015,2,2015-09-20,BUF,32,1,NWE,40,1.0,44.0,72,1,0,0
2015,2,2015-09-20,CAR,24,1,HTX,17,-3.0,39.5,41,1,0,0
2015,2,2015-09-20,CHI,23,1,CRD,48,2.0,46.0,71,1,0,0
2015,2,2015-09-20,CIN,24,1,SDG,19,-3.0,47.0,43,0,1,0
2015,2,2015-09-20,CLE,28,1,OTI,14,2.0,41.0,42,1,0,0
2015,2,2015-09-21,CLT,7,1,NYJ,20,-7.0,46.5,27,0,1,0
2015,2,2015-09-20,GNB,27,1,SEA,17,-3.0,49.0,44,0,1,0
2015,2,2015-09-20,JAX,23,1,MIA,20,6.0,41.5,43,1,0,0
2015,2,2015-09-17,KAN,24,1,DEN,31,-3.0,42.0,55,1,0,0
2015,2,2015-09-20,MIN,26,1,DET,16,-2.0,43.5,42,0,1,0
2015,2,2015-09-20,NOR,19,1,TAM,26,-10.0,47.5,45,0,1,0
2015,2,2015-09-20,NYG,20,1,ATL,24,-2.5,51.0,44,0,1,0
2015,2,2015-09-20,PHI,10,1,DAL,20,-5.0,55.0,30,0,1,0
2015,2,2015-09-20,PIT,43,1,SFO,18,-6.5,45.5,61,1,0,0
2015,2,2015-09-20,RAI,37,1,RAV,33,6.0,43.0,70,1,0,0
2015,2,2015-09-20,WAS,24,1,RAM,10,3.0,41.0,34,0,1,0
2015,3,2015-09-27,CAR,27,1,NOR,22,-9.5,43.5,49,1,0,0
2015,3,2015-09-27,CLE,20,1,RAI,27,-3.5,42.5,47,1,0,0
2015,3,2015-09-27,CRD,47,1,SFO,7,-6.5,45.0,54,1,0,0
2015,3,2015-09-27,DAL,28,1,ATL,39,1.0,43.5,67,1,0,0
2015,3,2015-09-27,DET,12,1,DEN,24,3.0,44.5,36,0,1,0
2015,3,2015-09-28,GNB,38,1,KAN,28,-6.0,49.0,66,1,0,0
2015,3,2015-09-27,HTX,19,1,TAM,9,-6.5,40.5,28,0,1,0
2015,3,2015-09-27,MIA,14,1,BUF,41,-2.5,41.5,55,1,0,0
2015,3,2015-09-27,MIN,31,1,SDG,14,-1.0,44.5,45,1,0,0
2015,3,2015-09-27,NWE,51,1,JAX,17,-13.5,49.0,68,1,0,0
2015,3,2015-09-24,NYG,32,1,WAS,21,-3.5,44.0,53,1,0,0
2015,3,2015-09-27,NYJ,17,1,PHI,24,-1.5,45.5,41,0,1,0
2015,3,2015-09-27,OTI,33,1,CLT,35,3.5,46.0,68,1,0,0
2015,3,2015-09-27,RAM,6,1,PIT,12,1.0,48.0,18,0,1,0
2015,3,2015-09-27,RAV,24,1,CIN,28,-2.5,44.5,52,1,0,0
2015,3,2015-09-27,SEA,26,1,CHI,0,-14.5,43.5,26,0,1,0
2015,4,2015-10-04,ATL,48,1,HTX,21,-6.0,47.0,69,1,0,0
2015,4,2015-10-04,BUF,10,1,NYG,24,-5.5,45.5,34,0,1,0
2015,4,2015-10-04,CHI,22,1,RAI,20,3.0,44.0,42,0,1,0
2015,4,2015-10-04,CIN,36,1,KAN,21,-3.5,45.0,57,1,0,0
2015,4,2015-10-04,CLT,16,1,JAX,13,-9.5,48.0,29,0,1,0
2015,4,2015-10-04,CRD,22,1,RAM,24,-7.0,44.0,46,1,0,0
2015,4,2015-10-04,DEN,23,1,MIN,20,-7.0,42.5,43,1,0,0
2015,4,2015-10-04,MIA,14,1,NYJ,27,1.5,42.0,41,0,1,0
2015,4,2015-10-04,NOR,26,1,DAL,20,-3.0,48.0,46,0,1,0
2015,4,2015-10-01,PIT,20,1,RAV,23,2.5,43.5,43,0,1,0
2015,4,2015-10-04,SDG,30,1,CLE,27,-7.0,44.5,57,1,0,0
2015,4,2015-10-05,SEA,13,1,DET,10,-9.5,43.0,23,0,1,0
2015,4,2015-10-04,SFO,3,1,GNB,17,7.5,48.0,20,0,1,0
2015,4,2015-10-04,TAM,23,1,CAR,37,3.0,40.0,60,1,0,0
2015,4,2015-10-04,WAS,23,1,PHI,20,3.0,44.0,43,0,1,0
2015,5,2015-10-11,ATL,25,1,WAS,19,-7.0,48.0,44,0,1,0
2015,5,2015-10-11,CIN,27,1,SEA,24,-3.0,43.5,51,1,0,0
2015,5,2015-10-11,DAL,6,1,NWE,30,9.0,49.5,36,0,1,0
2015,5,2015-10-11,DET,17,1,CRD,42,3.0,45.5,59,1,0,0
2015,5,2015-10-11,GNB,24,1,RAM,10,-9.0,45.5,34,0,1,0
2015,5,2015-10-08,HTX,20,1,CLT,27,-2.0,44.5,47,1,0,0
2015,5,2015-10-11,KAN,17,1,CHI,18,-9.0,45.0,35,0,1,0
2015,5,2015-10-11,NYG,30,1,SFO,27,-6.5,43.0,57,1,0,0
2015,5,2015-10-11,OTI,13,1,BUF,14,1.0,42.0,27,0,1,0
2015,5,2015-10-11,PHI,39,1,NOR,17,-6.0,49.5,56,1,0,0
2015,5,2015-10-11,RAI,10,1,DEN,16,4.0,44.0,26,0,1,0
2015,5,2015-10-11,RAV,30,1,CLE,33,-6.0,42.5,63,1,0,0
2015,5,2015-10-12,SDG,20,1,PIT,24,-3.5,46.0,44,0,1,0
2015,5,2015-10-11,TAM,38,1,JAX,31,-2.5,41.5,69,1,0,0
2015,6,2015-10-18,BUF,21,1,CIN,34,3.0,43.0,55,1,0,0
2015,6,2015-10-18,CLE,23,1,DEN,26,3.5,42.0,49,1,0,0
2015,6,2015-10-18,CLT,27,1,NWE,34,9.5,54.5,61,1,0,0
2015,6,2015-10-18,DET,37,1,CHI,34,-3.0,44.0,71,1,0,0
2015,6,2015-10-18,GNB,27,1,SDG,20,-10.5,51.0,47,0,1,0
2015,6,2015-10-18,JAX,20,1,HTX,31,-2.5,43.0,51,1,0,0
2015,6,2015-10-18,MIN,16,1,KAN,10,-3.5,43.0,26,0,1,0
2015,6,2015-10-15,NOR,31,1,ATL,21,3.0,51.0,52,1,0,0
2015,6,2015-10-18,NYJ,34,1,WAS,20,-7.0,40.5,54,1,0,0
2015,6,2015-10-18,OTI,10,1,MIA,38,-2.0,43.5,48,1,0,0
2015,6,2015-10-19,PHI,27,1,NYG,7,-5.0,49.5,34,0,1,0
2015,6,2015-10-18,PIT,25,1,CRD,13,3.5,45.0,38,0,1,0
2015,6,2015-10-18,SEA,23,1,CAR,27,-7.0,40.5,50,1,0,0
2015,6,2015-10-18,SFO,25,1,RAV,20,2.0,43.5,45,1,0,0
2015,7,2015-10-25,CAR,27,1,PHI,16,-3.0,45.0,43,0,1,0
2015,7,2015-10-25,CLT,21,1,NOR,27,-4.0,52.0,48,0,1,0
2015,7,2015-10-26,CRD,26,1,RAV,18,-8.0,49.0,44,0,1,0
2015,7,2015-10-25,DET,19,1,MIN,28,2.0,44.5,47,1,0,0
2015,7,2015-10-25,JAX,34,1,BUF,31,4.0,41.0,65,1,0,0
2015,7,2015-10-25,KAN,23,1,PIT,13,-3.0,43.0,36,0,1,0
2015,7,2015-10-25,MIA,44,1,HTX,26,-4.5,44.5,70,1,0,0
2015,7,2015-10-25,NWE,30,1,NYJ,23,-7.5,47.5,53,1,0,0
2015,7,2015-10-25,NYG,27,1,DAL,20,-3.0,45.0,47,1,0,0
2015,7,2015-10-25,OTI,7,1,ATL,10,6.0,47.0,17,0,1,0
2015,7,2015-10-25,RAM,24,1,CLE,6,-6.5,41.5,30,0,1,0
2015,7,2015-10-25,SDG,29,1,RAI,37,-3.5,47.0,66,1,0,0
2015,7,2015-10-22,SFO,3,1,SEA,20,6.5,42.0,23,0,1,0
2015,7,2015-10-25,WAS,31,1,TAM,30,-3.0,42.5,61,1,0,0
2015,8,2015-11-01,ATL,20,1,TAM,23,-7.0,48.5,43,0,1,0
2015,8,2015-11-02,CAR,29,1,CLT,26,-6.5,46.5,55,1,0,0
2015,8,2015-11-01,CHI,20,1,MIN,23,1.0,43.0,43,0,0,1
2015,8,2015-11-01,CLE,20,1,CRD,34,6.0,46.0,54,1,0,0
2015,8,2015-11-01,DAL,12,1,SEA,13,4.5,41.0,25,0,1,0
2015,8,2015-11-01,DEN,29,1,GNB,10,2.5,45.5,39,0,1,0
2015,8,2015-11-01,HTX,20,1,OTI,6,-3.5,42.5,26,0,1,0
2015,8,2015-11-01,KAN,45,1,DET,10,-3.5,45.0,55,1,0,0
2015,8,2015-11-01,NOR,52,1,NYG,49,-3.0,49.5,101,1,0,0
2015,8,2015-10-29,NWE,36,1,MIA,7,-7.5,50.5,43,0,1,0
2015,8,2015-11-01,PIT,10,1,CIN,16,-1.0,48.5,26,0,1,0
2015,8,2015-11-01,RAI,34,1,NYJ,20,3.0,44.0,54,1,0,0
2015,8,2015-11-01,RAM,27,1,SFO,6,-7.5,39.5,33,0,1,0
2015,8,2015-11-01,RAV,29,1,SDG,26,-3.5,51.0,55,1,0,0
2015,9,2015-11-08,BUF,33,1,MIA,17,-3.0,44.0,50,1,0,0
2015,9,2015-11-08,CAR,37,1,GNB,29,2.5,46.0,66,1,0,0
2015,9,2015-11-05,CIN,31,1,CLE,10,-11.0,45.0,41,0,1,0
2015,9,2015-11-08,CLT,27,1,DEN,24,5.5,45.5,51,1,0,0
2015,9,2015-11-08,DAL,27,1,PHI,33,3.0,43.5,60,1,0,0
2015,9,2015-11-08,MIN,21,1,RAM,18,-1.0,40.0,39,0,1,0
2015,9,2015-11-08,NOR,28,1,OTI,34,-7.5,48.0,62,1,0,0
2015,9,2015-11-08,NWE,27,1,WAS,10,-14.0,52.0,37,0,1,0
2015,9,2015-11-08,NYJ,28,1,JAX,23,-8.0,42.0,51,1,0,0
2015,9,2015-11-08,PIT,38,1,RAI,35,-4.5,48.5,73,1,0,0
2015,9,2015-11-09,SDG,19,1,CHI,22,-4.5,49.5,41,0,1,0
2015,9,2015-11-08,SFO,17,1,ATL,16,7.5,44.0,33,0,1,0
